TrialID,EdgeWeight,GenWeight,BetweenessWeight,TopOneRankRatio,MeanAveragePrecision
0,0.3167765725591248,0.13329162639414047,0.5499318010467349,0.915,0.9482142857142857
1,0.26658392932907393,0.19980751836705796,0.5336085523038682,0.905,0.9418333333333334
2,0.3298231193093265,0.14051647783420493,0.5296604028564686,0.92,0.9516666666666667
3,0.2664747957064805,0.19980606617256588,0.5337191381209535,0.89,0.9349166666666666
4,0.2578351393158679,0.2578118797814497,0.48435298090268253,0.875,0.9225
5,0.26687487224418643,0.1998055581212448,0.5333195696345688,0.905,0.9405833333333333
6,0.23848200641330028,0.19980767256881038,0.5617103210178893,0.865,0.9141309523809524
7,0.27037281002352037,0.16836648831574472,0.5612607016607349,0.86,0.913797619047619
8,0.28479153340099905,0.19981098915818107,0.51539747744082,0.9,0.9390833333333333
9,0.6,0.2,0.2,0.84,0.895345238095238
10,0.252812940485765,0.1998088196618236,0.5473782398524115,0.895,0.9360119047619048
11,0.26690873902128015,0.19980561303230232,0.5332856479464174,0.905,0.94075
12,0.7124767585299706,0.13394506259694636,0.1535781788730831,0.8,0.8770833333333333
13,0.2788548508417266,0.19980564116713806,0.5213395079911354,0.91,0.943797619047619
14,0.2358392144543133,0.1998046989830943,0.5643560865625925,0.87,0.9178333333333333
15,0.24359085590141408,0.21802972258487546,0.5383794215137105,0.885,0.9303809523809524
16,0.2387060829766245,0.19980462681879846,0.561489290204577,0.865,0.9200555555555556
17,0.2997534153035427,0.19980558580708366,0.5004409988893738,0.885,0.9318333333333334
18,0.24578068056448749,0.22051114772905753,0.533708171706455,0.875,0.9251666666666667
19,0.25029882673841936,0.19980563684400135,0.5498955364175795,0.89,0.9299166666666666
20,0.250785767338592,0.18752827364601957,0.5616859590153885,0.9,0.9353333333333333
21,0.2695408626961612,0.17969138767513462,0.5507677496287043,0.885,0.9301666666666667
22,0.20028255594594607,0.19980550217619944,0.5999119418778545,0.905,0.9409166666666667
23,0.24807472088740468,0.19980557963567477,0.5521196994769205,0.865,0.9195833333333333
24,0.26659021708491726,0.19980561356877977,0.533604169346303,0.945,0.9640476190476189
25,0.2503618935530493,0.21801536881237554,0.5316227376345751,0.87,0.9163452380952382
26,0.2404546339923046,0.1998078333163191,0.5597375326913765,0.865,0.9128809523809523
27,0.2561959458398459,0.2540013984680898,0.4898026556920643,0.865,0.9193333333333333
28,0.26725427287772713,0.19981444929253245,0.5329312778297405,0.915,0.9448333333333333
29,0.31118831738746305,0.19989771803609746,0.4889139645764396,0.9,0.9425
30,0.24478397078582043,0.19980565111820323,0.5554103780959764,0.9,0.937625
31,0.24081460368215526,0.19980497540714298,0.5593804209107018,0.855,0.9094226190476191
32,0.23352602758997584,0.19980561965956584,0.5666683527504583,0.865,0.9125833333333334
33,0.30784948121481515,0.26228764945619054,0.42986286932899426,0.865,0.9126666666666666
34,0.2448941721420485,0.19980605527370604,0.5552997725842455,0.865,0.9147222222222223
35,0.25973198470636716,0.1998055605925764,0.5404624547010565,0.885,0.931547619047619
36,0.24431500260828617,0.1998204420619801,0.5558645553297338,0.84,0.8938115079365079
37,0.29983961608130044,0.19982699911217647,0.5003333848065232,0.81,0.8750476190476191
38,0.24470559895041247,0.19980520128976914,0.5554891997598183,0.87,0.9224166666666666
39,0.2669358009342228,0.19980585025363384,0.5332583488121434,0.91,0.9424583333333334
40,0.4801342174659736,0.2395701721440781,0.2802956103899484,0.84,0.899875
41,0.20127873046286973,0.1998055675258653,0.598915702011265,0.85,0.9033392857142857
42,0.2059012425811576,0.1998072524021365,0.5942915050167059,0.88,0.9227142857142857
43,0.6768098677515436,0.12241028978728001,0.20077984246117647,0.86,0.9139166666666667
44,0.26641146782667896,0.1998055473880335,0.5337829847852876,0.915,0.9489642857142857
45,0.26273027921296827,0.21893394775175373,0.5183357730352781,0.855,0.9096666666666667
46,0.2928777950407304,0.199805604545253,0.5073166004140167,0.87,0.9134722222222222
47,0.24811497748297642,0.1998069234069378,0.5520780991100858,0.87,0.9156388888888888
48,0.2901405388570429,0.24863884956217053,0.46122061158078664,0.88,0.91975
49,0.2498059123380518,0.1998056207833402,0.550388466878608,0.85,0.9096309523809524
